,Sentence #,scenario,intent
267,267,news,query
268,268,news,query
269,269,news,query
270,270,play,music
271,271,play,music
272,272,play,music
273,273,weather,query
274,274,weather,query
275,275,weather,query
276,276,general,quirky
277,277,general,greet
278,278,general,greet
279,279,takeaway,order
280,280,takeaway,order
281,281,takeaway,order
282,282,datetime,query
283,283,datetime,query
284,284,datetime,query
285,285,iot,hue_lighton
286,286,iot,hue_lightup
287,287,iot,hue_lightup
288,288,audio,volume_mute
289,289,audio,volume_mute
290,290,audio,volume_mute
291,291,weather,query
292,292,weather,query
293,293,weather,query
294,294,iot,wemo_off
295,295,iot,wemo_on
296,296,iot,wemo_on
297,297,news,query
298,298,news,query
299,299,news,query
300,300,weather,query
301,301,weather,query
302,302,weather,query
303,303,play,music
304,304,play,music
305,305,play,music
306,306,audio,volume_down
307,307,audio,volume_down
308,308,audio,volume_mute
309,309,weather,query
310,310,weather,query
311,311,weather,query
312,312,play,music
313,313,play,music
314,314,play,music
315,315,iot,coffee
316,316,iot,coffee
317,317,iot,coffee
318,318,weather,query
319,319,weather,query
320,320,weather,query
321,321,weather,query
322,322,weather,query
323,323,weather,query
324,324,takeaway,query
325,325,takeaway,query
326,326,takeaway,query
327,327,datetime,query
328,328,datetime,query
329,329,datetime,query
330,330,alarm,query
331,331,alarm,query
332,332,alarm,query
333,333,datetime,query
334,334,datetime,query
335,335,play,music
336,336,play,music
337,337,play,music
338,338,datetime,query
339,339,datetime,query
340,340,news,query
341,341,news,query
342,342,news,query
343,343,weather,query
344,344,weather,query
345,345,iot,hue_lightoff
346,346,iot,hue_lightoff
347,347,iot,hue_lightoff
348,348,play,music
349,349,play,music
350,350,play,music
351,351,weather,query
352,352,weather,query
353,353,weather,query
354,354,weather,query
355,355,weather,query
356,356,music,likeness
357,357,music,likeness
358,358,music,likeness
359,359,play,music
360,360,play,music
361,361,play,music
362,362,iot,hue_lightoff
363,363,iot,hue_lightoff
364,364,iot,hue_lightoff
365,365,news,query
366,366,news,query
367,367,news,query
368,368,news,query
369,369,news,query
370,370,news,query
371,371,iot,wemo_off
372,372,iot,wemo_on
373,373,iot,wemo_on
374,374,play,music
375,375,play,music
376,376,play,music
377,377,datetime,convert
378,378,datetime,convert
379,379,datetime,convert
380,380,play,music
381,381,play,music
382,382,play,music
383,383,weather,query
384,384,weather,query
385,385,alarm,remove
386,386,alarm,remove
387,387,alarm,remove
388,388,play,music
389,389,play,music
390,390,play,music
391,391,iot,hue_lightchange
392,392,iot,hue_lightchange
393,393,iot,hue_lightchange
394,394,play,music
395,395,play,music
396,396,play,music
397,397,alarm,query
398,398,alarm,query
399,399,alarm,query
400,400,general,joke
401,401,general,joke
402,402,iot,hue_lightchange
403,403,iot,hue_lightchange
404,404,iot,hue_lightchange
405,405,alarm,set
406,406,alarm,set
407,407,alarm,set
408,408,alarm,set
409,409,alarm,set
410,410,alarm,set
411,411,news,query
412,412,news,query
413,413,news,query
414,414,iot,wemo_on
415,415,iot,wemo_on
416,416,iot,wemo_off
417,417,iot,hue_lightoff
418,418,iot,hue_lightoff
419,419,iot,hue_lightoff
420,420,weather,query
421,421,weather,query
422,422,weather,query
423,423,weather,query
424,424,weather,query
425,425,weather,query
426,426,datetime,query
427,427,datetime,query
428,428,play,music
429,429,play,music
430,430,play,music
431,431,weather,query
432,432,weather,query
433,433,news,query
434,434,news,query
435,435,news,query
436,436,audio,volume_up
437,437,music,settings
438,438,music,settings
439,439,play,music
440,440,play,music
441,441,play,music
442,442,iot,coffee
443,443,iot,coffee
444,444,iot,coffee
445,445,news,query
446,446,news,query
447,447,news,query
448,448,datetime,query
449,449,datetime,query
450,450,iot,hue_lightchange
451,451,iot,hue_lightchange
452,452,iot,hue_lightchange
453,453,music,dislikeness
454,454,music,dislikeness
455,455,audio,volume_up
456,456,audio,volume_up
457,457,audio,volume_up
458,458,play,music
459,459,play,music
460,460,play,music
461,461,datetime,query
462,462,datetime,query
463,463,datetime,query
464,464,iot,hue_lightup
465,465,iot,hue_lightup
466,466,iot,hue_lightdim
467,467,iot,hue_lightoff
468,468,iot,hue_lightoff
469,469,iot,hue_lighton
470,470,play,music
471,471,play,music
472,472,play,music
473,473,general,quirky
474,474,general,quirky
475,475,news,query
476,476,news,query
477,477,news,query
478,478,datetime,query
479,479,datetime,query
480,480,datetime,query
481,481,datetime,query
482,482,music,query
483,483,music,query
484,484,music,query
485,485,datetime,query
486,486,datetime,query
487,487,datetime,query
488,488,weather,query
489,489,weather,query
490,490,weather,query
491,491,general,joke
492,492,general,joke
493,493,play,music
494,494,play,music
495,495,iot,hue_lightchange
496,496,iot,hue_lightchange
497,497,iot,hue_lightchange
498,498,datetime,query
499,499,datetime,query
500,500,datetime,query
501,501,weather,query
502,502,weather,query
503,503,audio,volume_mute
504,504,audio,volume_mute
505,505,audio,volume_mute
506,506,play,music
507,507,play,music
508,508,play,music
509,509,alarm,query
510,510,alarm,query
511,511,alarm,query
512,512,alarm,query
513,513,weather,query
514,514,weather,query
515,515,weather,query
516,516,audio,volume_mute
517,517,audio,volume_mute
518,518,audio,volume_mute
519,519,play,music
520,520,play,music
521,521,play,music
522,522,datetime,query
523,523,datetime,query
524,524,datetime,query
525,525,weather,query
526,526,weather,query
527,527,weather,query
528,528,takeaway,query
529,529,takeaway,query
530,530,general,quirky
531,531,general,joke
532,532,general,joke
533,533,general,joke
534,534,iot,hue_lightoff
535,535,iot,hue_lightoff
536,536,iot,hue_lightoff
537,537,news,query
538,538,news,query
539,539,news,query
540,540,alarm,set
541,541,alarm,set
542,542,alarm,set
543,543,alarm,set
544,544,alarm,set
545,545,alarm,set
546,546,music,query
547,547,play,music
548,548,play,music
549,549,music,likeness
550,550,general,joke
551,551,general,joke
552,552,play,music
553,553,play,music
554,554,audio,volume_up
555,555,music,settings
556,556,music,settings
557,557,music,query
558,558,music,query
559,559,music,query
560,560,iot,hue_lightoff
561,561,iot,hue_lightoff
562,562,iot,hue_lightoff
563,563,play,music
564,564,play,music
565,565,alarm,query
566,566,alarm,query
567,567,alarm,query
568,568,alarm,remove
569,569,alarm,remove
570,570,alarm,remove
571,571,iot,hue_lightchange
572,572,iot,hue_lightchange
573,573,iot,hue_lightchange
574,574,weather,query
575,575,weather,query
576,576,weather,query
577,577,datetime,query
578,578,datetime,query
579,579,datetime,query
580,580,datetime,query
581,581,audio,volume_up
582,582,music,settings
583,583,music,settings
584,584,play,music
585,585,play,music
586,586,play,music
587,587,iot,hue_lightoff
588,588,iot,hue_lightoff
589,589,iot,hue_lightoff
590,590,weather,query
591,591,weather,query
592,592,weather,query
593,593,news,query
594,594,news,query
595,595,news,query
596,596,datetime,query
597,597,datetime,query
598,598,datetime,query
599,599,weather,query
600,600,weather,query
601,601,play,music
602,602,play,music
603,603,play,music
604,604,play,music
605,605,play,music
606,606,play,music
607,607,audio,volume_up
608,608,audio,volume_down
609,609,audio,volume_up
610,610,alarm,set
611,611,alarm,set
612,612,alarm,set
613,613,weather,query
614,614,weather,query
615,615,weather,query
616,616,audio,volume_mute
617,617,audio,volume_up
618,618,audio,volume_up
619,619,alarm,set
620,620,alarm,set
621,621,alarm,set
622,622,play,music
623,623,play,music
624,624,play,music
625,625,datetime,query
626,626,datetime,query
627,627,datetime,query
628,628,datetime,query
629,629,datetime,query
630,630,datetime,query
631,631,news,query
632,632,news,query
633,633,news,query
634,634,news,query
635,635,news,query
636,636,play,music
637,637,play,music
638,638,play,music
639,639,news,query
640,640,news,query
641,641,news,query
642,642,news,query
643,643,news,query
644,644,news,query
645,645,news,query
646,646,news,query
647,647,iot,cleaning
648,648,iot,cleaning
649,649,iot,cleaning
650,650,general,joke
651,651,general,joke
652,652,general,joke
653,653,music,likeness
654,654,play,music
655,655,music,likeness
656,656,play,music
657,657,play,music
658,658,play,music
659,659,iot,cleaning
660,660,iot,cleaning
661,661,weather,query
662,662,weather,query
663,663,iot,hue_lightup
664,664,iot,hue_lightup
665,665,iot,hue_lightup
666,666,alarm,query
667,667,alarm,query
668,668,alarm,query
669,669,iot,hue_lightoff
670,670,iot,hue_lightoff
671,671,iot,hue_lightoff
672,672,play,music
673,673,music,query
674,674,play,music
675,675,weather,query
676,676,weather,query
677,677,weather,query
678,678,datetime,query
679,679,datetime,query
680,680,datetime,query
681,681,datetime,convert
682,682,datetime,convert
683,683,datetime,convert
684,684,iot,hue_lightdim
685,685,iot,hue_lightdim
686,686,iot,hue_lightdim
687,687,iot,hue_lightdim
688,688,iot,hue_lightdim
689,689,takeaway,order
690,690,takeaway,order
691,691,takeaway,order
692,692,datetime,query
693,693,datetime,query
694,694,datetime,query
695,695,datetime,query
696,696,datetime,query
697,697,datetime,query
698,698,datetime,query
699,699,datetime,query
700,700,datetime,convert
701,701,iot,wemo_off
702,702,iot,wemo_on
703,703,iot,wemo_off
704,704,news,query
705,705,qa,stock
706,706,news,query
707,707,play,music
708,708,play,music
709,709,play,music
710,710,datetime,query
711,711,datetime,query
712,712,datetime,query
713,713,audio,volume_down
714,714,audio,volume_down
715,715,audio,volume_up
716,716,music,query
717,717,music,query
718,718,takeaway,query
719,719,takeaway,query
720,720,takeaway,query
721,721,iot,hue_lightup
722,722,iot,hue_lightup
723,723,iot,hue_lightup
724,724,alarm,query
725,725,alarm,query
726,726,news,query
727,727,news,query
728,728,weather,query
729,729,weather,query
730,730,weather,query
731,731,iot,hue_lightdim
732,732,iot,hue_lightdim
733,733,iot,hue_lightdim
734,734,general,joke
735,735,play,music
736,736,play,music
737,737,play,music
738,738,news,query
739,739,news,query
740,740,news,query
741,741,iot,coffee
742,742,news,query
743,743,news,query
744,744,news,query
745,745,news,query
746,746,news,query
747,747,news,query
748,748,news,query
749,749,news,query
750,750,news,query
751,751,general,greet
752,752,general,greet
753,753,alarm,set
754,754,alarm,set
755,755,alarm,set
756,756,weather,query
757,757,weather,query
758,758,weather,query
759,759,play,music
760,760,play,music
761,761,play,music
762,762,play,music
763,763,iot,hue_lightoff
764,764,iot,hue_lightup
765,765,music,likeness
766,766,music,likeness
767,767,play,music
768,768,audio,volume_down
769,769,audio,volume_up
770,770,audio,volume_down
771,771,weather,query
772,772,weather,query
773,773,weather,query
774,774,play,music
775,775,play,music
776,776,play,music
777,777,play,music
778,778,play,music
779,779,play,music
780,780,news,query
781,781,news,query
782,782,play,music
783,783,play,music
784,784,audio,volume_up
785,785,audio,volume_up
786,786,audio,volume_down
787,787,audio,volume_mute
788,788,audio,volume_mute
789,789,audio,volume_mute
790,790,datetime,convert
791,791,datetime,convert
792,792,datetime,convert
793,793,iot,wemo_off
794,794,iot,wemo_on
795,795,iot,wemo_on
796,796,music,query
797,797,music,query
798,798,music,query
799,799,iot,coffee
800,800,iot,coffee
801,801,iot,coffee
802,802,weather,query
803,803,weather,query
804,804,weather,query
805,805,news,query
806,806,news,query
807,807,news,query
808,808,news,query
809,809,news,query
810,810,news,query
811,811,news,query
812,812,news,query
813,813,news,query
814,814,news,query
815,815,news,query
816,816,weather,query
817,817,play,music
818,818,play,music
819,819,play,music
820,820,play,music
821,821,play,music
822,822,play,music
823,823,play,music
824,824,play,music
825,825,play,music
826,826,general,greet
827,827,weather,query
828,828,weather,query
829,829,weather,query
830,830,weather,query
831,831,weather,query
832,832,weather,query
833,833,weather,query
834,834,alarm,query
835,835,alarm,query
836,836,alarm,query
837,837,takeaway,query
838,838,takeaway,query
839,839,takeaway,order
840,840,news,query
841,841,news,query
842,842,news,query
843,843,news,query
844,844,news,query
845,845,audio,volume_mute
846,846,audio,volume_mute
847,847,audio,volume_down
848,848,iot,coffee
849,849,iot,coffee
850,850,iot,coffee
851,851,datetime,query
852,852,play,music
853,853,play,music
854,854,play,music
855,855,news,query
856,856,news,query
857,857,news,query
858,858,play,music
859,859,play,music
860,860,play,music
861,861,audio,volume_up
862,862,music,settings
863,863,music,settings
864,864,weather,query
865,865,weather,query
866,866,weather,query
867,867,weather,query
868,868,play,music
869,869,play,music
870,870,play,music
871,871,weather,query
872,872,weather,query
873,873,weather,query
874,874,news,query
875,875,news,query
876,876,news,query
877,877,alarm,remove
878,878,alarm,remove
879,879,alarm,remove
880,880,takeaway,order
881,881,takeaway,order
882,882,takeaway,order
883,883,iot,cleaning
884,884,iot,cleaning
885,885,alarm,query
886,886,alarm,query
887,887,alarm,query
888,888,general,joke
889,889,general,joke
890,890,general,joke
891,891,iot,hue_lightup
892,892,iot,hue_lightup
893,893,iot,hue_lightup
894,894,play,music
895,895,play,music
896,896,play,music
897,897,iot,hue_lightdim
898,898,iot,hue_lightdim
899,899,weather,query
900,900,weather,query
901,901,weather,query
902,902,alarm,query
903,903,alarm,query
904,904,alarm,query
905,905,iot,cleaning
906,906,iot,cleaning
907,907,iot,cleaning
908,908,iot,wemo_off
909,909,iot,wemo_off
910,910,iot,wemo_off
911,911,music,likeness
912,912,music,likeness
913,913,music,likeness
914,914,iot,hue_lightoff
915,915,iot,hue_lightoff
916,916,iot,hue_lightoff
917,917,play,music
918,918,play,music
919,919,play,music
920,920,takeaway,order
921,921,takeaway,order
922,922,takeaway,order
923,923,datetime,query
924,924,datetime,query
925,925,datetime,query
926,926,news,query
927,927,news,query
928,928,news,query
929,929,alarm,set
930,930,alarm,set
931,931,datetime,query
932,932,datetime,query
933,933,datetime,query
934,934,play,music
935,935,play,music
936,936,play,music
937,937,play,music
938,938,play,music
939,939,play,music
940,940,alarm,remove
941,941,alarm,remove
942,942,alarm,remove
943,943,iot,hue_lightchange
944,944,iot,hue_lightchange
945,945,iot,hue_lightchange
946,946,news,query
947,947,news,query
948,948,weather,query
949,949,play,music
950,950,play,music
951,951,play,music
952,952,weather,query
953,953,weather,query
954,954,weather,query
955,955,iot,cleaning
956,956,iot,cleaning
957,957,iot,cleaning
958,958,datetime,query
959,959,datetime,query
960,960,datetime,query
961,961,play,radio
962,962,play,radio
963,963,play,radio
964,964,iot,hue_lightoff
965,965,iot,hue_lightoff
966,966,datetime,query
967,967,alarm,remove
968,968,alarm,remove
969,969,alarm,remove
970,970,play,music
971,971,play,music
972,972,play,music
973,973,iot,hue_lightdim
974,974,iot,hue_lightdim
975,975,iot,hue_lightdim
976,976,music,query
977,977,music,query
978,978,music,query
979,979,music,settings
980,980,music,likeness
981,981,music,likeness
982,982,music,likeness
983,983,audio,volume_other
984,984,play,radio
985,985,play,music
986,986,play,music
987,987,alarm,remove
988,988,alarm,remove
989,989,alarm,set
990,990,alarm,set
991,991,alarm,set
992,992,datetime,query
993,993,datetime,convert
994,994,datetime,convert
995,995,general,quirky
996,996,general,quirky
997,997,news,query
998,998,music,likeness
999,999,music,dislikeness
1000,1000,weather,query
1001,1001,weather,query
1002,1002,weather,query
1003,1003,audio,volume_mute
1004,1004,audio,volume_mute
1005,1005,alarm,set
1006,1006,alarm,set
1007,1007,alarm,set
1008,1008,iot,cleaning
1009,1009,iot,cleaning
1010,1010,iot,cleaning
1011,1011,iot,hue_lightup
1012,1012,iot,hue_lightup
1013,1013,iot,hue_lightup
1014,1014,iot,hue_lightdim
1015,1015,iot,hue_lightdim
1016,1016,takeaway,query
1017,1017,takeaway,query
1018,1018,takeaway,query
1019,1019,news,query
1020,1020,news,query
1021,1021,news,query
1022,1022,news,query
1023,1023,news,query
1024,1024,news,query
1025,1025,datetime,query
1026,1026,datetime,query
1027,1027,datetime,query
1028,1028,iot,hue_lightoff
1029,1029,iot,hue_lightoff
1030,1030,audio,volume_up
1031,1031,audio,volume_down
1032,1032,audio,volume_up
1033,1033,iot,hue_lightchange
1034,1034,iot,hue_lightchange
1035,1035,iot,hue_lightchange
1036,1036,news,query
1037,1037,news,query
1038,1038,news,query
1039,1039,news,query
1040,1040,news,query
1041,1041,news,query
1042,1042,general,joke
1043,1043,general,joke
1044,1044,play,music
1045,1045,play,music
1046,1046,play,music
1047,1047,play,music
1048,1048,play,music
1049,1049,play,music
1050,1050,iot,hue_lightoff
1051,1051,iot,hue_lightoff
1052,1052,iot,hue_lightoff
1053,1053,iot,wemo_off
1054,1054,iot,wemo_on
1055,1055,iot,wemo_off
1056,1056,alarm,remove
1057,1057,alarm,remove
1058,1058,alarm,remove
1059,1059,play,music
1060,1060,play,music
1061,1061,play,music
1062,1062,weather,query
1063,1063,weather,query
1064,1064,weather,query
1065,1065,news,query
1066,1066,news,query
1067,1067,social,post
1068,1068,calendar,query
1069,1069,datetime,convert
1070,1070,datetime,query
1071,1071,news,query
1072,1072,news,query
1073,1073,news,query
1074,1074,weather,query
1075,1075,weather,query
1076,1076,weather,query
1077,1077,music,query
1078,1078,music,query
1079,1079,general,quirky
1080,1080,takeaway,query
1081,1081,takeaway,query
1082,1082,takeaway,query
1083,1083,datetime,query
1084,1084,datetime,query
1085,1085,iot,hue_lightdim
1086,1086,iot,hue_lightdim
1087,1087,iot,hue_lightdim
1088,1088,iot,hue_lightdim
1089,1089,iot,hue_lightchange
1090,1090,iot,hue_lightup
1091,1091,play,music
1092,1092,play,music
1093,1093,alarm,query
1094,1094,alarm,query
1095,1095,alarm,query
1096,1096,news,query
1097,1097,news,query
1098,1098,news,query
1099,1099,takeaway,order
1100,1100,takeaway,order
1101,1101,takeaway,order
1102,1102,play,music
1103,1103,play,music
1104,1104,play,music
1105,1105,audio,volume_down
1106,1106,audio,volume_other
1107,1107,audio,volume_down
1108,1108,weather,query
1109,1109,weather,query
1110,1110,music,dislikeness
1111,1111,music,likeness
1112,1112,music,dislikeness
1113,1113,iot,cleaning
1114,1114,iot,cleaning
1115,1115,iot,cleaning
1116,1116,iot,cleaning
1117,1117,iot,cleaning
1118,1118,iot,cleaning
1119,1119,news,query
1120,1120,news,query
1121,1121,news,query
1122,1122,audio,volume_other
1123,1123,audio,volume_other
1124,1124,audio,volume_other
1125,1125,iot,cleaning
1126,1126,iot,cleaning
1127,1127,general,quirky
1128,1128,iot,hue_lightup
1129,1129,iot,hue_lightup
1130,1130,iot,hue_lightup
1131,1131,iot,hue_lightdim
1132,1132,iot,hue_lightdim
1133,1133,iot,hue_lightdim
1134,1134,music,likeness
1135,1135,music,dislikeness
1136,1136,play,music
1137,1137,play,music
1138,1138,play,music
1139,1139,weather,query
1140,1140,weather,query
1141,1141,weather,query
1142,1142,audio,volume_up
1143,1143,audio,volume_down
1144,1144,audio,volume_up
1145,1145,news,query
1146,1146,news,query
1147,1147,news,query
1148,1148,audio,volume_mute
1149,1149,audio,volume_mute
1150,1150,audio,volume_mute
1151,1151,iot,hue_lightup
1152,1152,iot,hue_lightup
1153,1153,iot,hue_lightup
1154,1154,news,query
1155,1155,news,query
1156,1156,news,query
1157,1157,play,music
1158,1158,play,music
1159,1159,play,music
1160,1160,datetime,query
1161,1161,datetime,query
1162,1162,general,greet
1163,1163,general,greet
1164,1164,general,greet
1165,1165,weather,query
1166,1166,weather,query
1167,1167,weather,query
1168,1168,music,likeness
1169,1169,play,music
1170,1170,music,likeness
1171,1171,play,music
1172,1172,play,music
1173,1173,play,music
1174,1174,music,likeness
1175,1175,play,music
1176,1176,play,music
1177,1177,play,music
1178,1178,play,music
1179,1179,play,music
1180,1180,news,query
1181,1181,news,query
1182,1182,news,query
1183,1183,play,music
1184,1184,play,music
1185,1185,play,music
1186,1186,play,music
1187,1187,play,music
1188,1188,play,music
1189,1189,datetime,query
1190,1190,datetime,query
1191,1191,play,music
1192,1192,play,music
1193,1193,play,music
1194,1194,weather,query
1195,1195,weather,query
1196,1196,weather,query
1197,1197,alarm,set
1198,1198,alarm,set
1199,1199,alarm,set
1200,1200,news,query
1201,1201,news,query
1202,1202,calendar,query
1203,1203,takeaway,order
1204,1204,takeaway,order
1205,1205,takeaway,order
1206,1206,datetime,query
1207,1207,datetime,query
1208,1208,play,music
1209,1209,play,music
1210,1210,play,music
1211,1211,iot,cleaning
1212,1212,iot,cleaning
1213,1213,iot,cleaning
1214,1214,datetime,query
1215,1215,datetime,query
1216,1216,datetime,query
1217,1217,iot,cleaning
1218,1218,iot,cleaning
1219,1219,iot,cleaning
1220,1220,iot,hue_lightoff
1221,1221,iot,hue_lightoff
1222,1222,news,query
1223,1223,news,query
1224,1224,news,query
1225,1225,general,joke
1226,1226,general,joke
1227,1227,datetime,query
1228,1228,weather,query
1229,1229,weather,query
1230,1230,weather,query
1231,1231,music,settings
1232,1232,music,settings
1233,1233,play,music
1234,1234,play,music
1235,1235,play,music
1236,1236,music,query
1237,1237,iot,coffee
1238,1238,iot,coffee
1239,1239,iot,coffee
1240,1240,play,music
1241,1241,play,music
1242,1242,play,music
1243,1243,audio,volume_other
1244,1244,audio,volume_other
1245,1245,audio,volume_other
1246,1246,music,query
1247,1247,music,query
1248,1248,music,query
1249,1249,music,likeness
1250,1250,music,dislikeness
1251,1251,music,likeness
1252,1252,news,query
1253,1253,news,query
1254,1254,news,query
1255,1255,alarm,remove
1256,1256,alarm,set
1257,1257,alarm,remove
1258,1258,alarm,set
1259,1259,alarm,remove
1260,1260,alarm,set
1261,1261,news,query
1262,1262,news,query
1263,1263,news,query
1264,1264,play,music
1265,1265,play,music
1266,1266,play,music
1267,1267,datetime,convert
1268,1268,datetime,convert
1269,1269,datetime,convert
1270,1270,play,music
1271,1271,play,music
1272,1272,play,music
1273,1273,weather,query
1274,1274,weather,query
1275,1275,weather,query
1276,1276,general,joke
1277,1277,datetime,query
1278,1278,datetime,query
1279,1279,weather,query
1280,1280,play,music
1281,1281,play,music
1282,1282,play,music
1283,1283,alarm,remove
1284,1284,alarm,remove
1285,1285,alarm,remove
1286,1286,recommendation,locations
1287,1287,cooking,recipe
1288,1288,takeaway,order
1289,1289,datetime,convert
1290,1290,play,music
1291,1291,play,music
1292,1292,play,music
1293,1293,iot,hue_lightchange
1294,1294,iot,hue_lightchange
1295,1295,iot,hue_lightchange
1296,1296,audio,volume_up
1297,1297,music,settings
1298,1298,music,settings
1299,1299,play,music
1300,1300,play,music
1301,1301,play,music
1302,1302,weather,query
1303,1303,weather,query
1304,1304,datetime,query
1305,1305,datetime,query
1306,1306,datetime,query
1307,1307,news,query
1308,1308,news,query
1309,1309,news,query
1310,1310,takeaway,order
1311,1311,takeaway,order
1312,1312,takeaway,order
1313,1313,datetime,query
1314,1314,datetime,convert
1315,1315,datetime,convert
1316,1316,iot,hue_lightchange
1317,1317,iot,hue_lightchange
